"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HTR2A",3.16881463691964e-32,-0.494898516403013,0.315,0.418,1.0677004037637e-27
"RIC3",4.08247526252032e-32,-0.578969772442015,0.241,0.338,1.3755492149536e-27
"ZFYVE28",4.86033596915865e-32,-0.644397646919872,0.166,0.254,1.63764160144831e-27
"PRICKLE2-AS1",7.03633947733644e-32,1.84682707344379,0.049,0.013,2.37082422349374e-27
"NDUFA4",1.13178362262143e-31,0.536657597639963,0.528,0.468,3.81343173806065e-27
"CORO6",1.26296160015042e-31,-0.577033107713043,0.269,0.364,4.25542281554681e-27
"FXYD7",1.27722956213635e-31,0.35748160180569,0.603,0.526,4.30349728666223e-27
"KCNB1",1.38563997047791e-31,-0.421813596723054,0.425,0.526,4.66877531652827e-27
"CHI3L1",1.47114525225958e-31,-1.48443132113194,0.026,0.073,4.95687681296344e-27
"BHLHE41",3.04536124710145e-31,0.969376400985793,0.162,0.097,1.02610401859836e-26
"ISOC2",3.65078159120249e-31,0.981128872887426,0.143,0.08,1.23009434933977e-26
"LMO3",3.86031394922487e-31,0.421532181895442,0.514,0.435,1.30069418205183e-26
"SLC39A10",3.88846500732618e-31,-0.32446394000826,0.575,0.662,1.31017939956848e-26
"PKDCC",4.44116914010059e-31,-0.934081782963557,0.089,0.158,1.49640753006549e-26
"GNAS",7.22244825928399e-31,0.261833662005984,0.842,0.787,2.43353171648315e-26
"GPM6B",8.78881253527553e-31,-0.362522248584721,0.507,0.605,2.96130249563574e-26
"MAPRE3",9.29485651188056e-31,0.435437188934439,0.442,0.358,3.13180895311303e-26
"MRPL23",1.18876462856151e-30,1.2814869379609,0.07,0.027,4.00542353947514e-26
"CRYBB2",1.96214011082771e-30,2.40114257313842,0.038,0.008,6.61123488942287e-26
"PNMA2",2.510852208653e-30,0.268481500716034,0.718,0.646,8.46006543183542e-26
"ZDHHC22",2.54652249148512e-30,0.614360303410302,0.274,0.194,8.58025288280998e-26
"STUB1",3.21193578337766e-30,0.510852205923742,0.361,0.276,1.08222964285127e-25
"EFR3A",9.60650245104494e-30,0.430151771865427,0.44,0.355,3.23681493585508e-25
"CATSPER2",9.87146958283093e-30,-0.526611278497006,0.253,0.349,3.32609296123905e-25
"PIK3C3",1.08469297045936e-29,-0.649982741724508,0.19,0.276,3.65476449466576e-25
"RPRM",1.10029270185292e-29,1.16756214311145,0.136,0.076,3.70732622962322e-25
"GRIN2A",1.35690774276838e-29,-0.318158300962686,0.581,0.669,4.57196494848377e-25
"HSPB3",1.43051002904428e-29,-1.37586399807255,0.034,0.083,4.81996049186178e-25
"RP11-701H24.9",1.47172175564802e-29,0.614020829483405,0.264,0.184,4.95881928348043e-25
"NPIPA1",1.96985776720106e-29,-0.646929605150348,0.257,0.346,6.63723876080724e-25
"SYNC",3.24214986637341e-29,0.711461057430324,0.196,0.125,1.09240997597586e-24
"SLC25A37",3.61332850333746e-29,-0.46760436417708,0.3,0.398,1.21747490591452e-24
"RPL13A",4.55650368470776e-29,-0.402268203417708,0.512,0.592,1.53526835152543e-24
"LINC01252",5.15309149354866e-29,-0.738115900427931,0.113,0.186,1.73628264783628e-24
"TNRC6A",6.48903234892799e-29,-0.367074202667009,0.456,0.557,2.1864145596478e-24
"PKD1",6.72179832771605e-29,-0.312656985826009,0.661,0.74,2.26484272854065e-24
"SRP14",7.73743070655864e-29,0.349502301881755,0.582,0.519,2.60704990226787e-24
"KALRN",8.69611837958964e-29,-0.336713288811164,0.578,0.658,2.93007012681893e-24
"HSPA1A",9.36023017243089e-29,0.783349259128676,0.216,0.144,3.15383595429887e-24
"NGB",9.61839694315741e-29,0.904040112449177,0.156,0.093,3.24082266602746e-24
"PFN1",1.06515929186079e-28,0.728896331508511,0.191,0.121,3.58894771799575e-24
"CAMKK2",1.1752812982438e-28,-0.441050197516289,0.329,0.427,3.95999280630266e-24
"MT-ND5",1.29476474134315e-28,0.272747140098196,0.705,0.628,4.36258031948161e-24
"RPS7",1.49031670075225e-28,-0.543535255375263,0.295,0.383,5.02147309151463e-24
"FAM173A",1.93383048667198e-28,0.579256127734039,0.209,0.133,6.51584844179256e-24
"RNF24",2.55337517722328e-28,-0.757178345584727,0.1,0.169,8.60334232213613e-24
"ZBBX",2.99874881285905e-28,-0.977959332381577,0.055,0.111,1.01039842500473e-23
"CDIP1",3.48299959701871e-28,0.398801791935277,0.477,0.398,1.17356188421949e-23
"TMA7",3.53700300941564e-28,0.241821646116748,0.698,0.625,1.1917577939925e-23
"ITM2B",3.57141042649037e-28,0.278421823655489,0.643,0.57,1.20335102910167e-23
"CIT",5.82802520464271e-28,-0.397465404907474,0.334,0.434,1.96369481245231e-23
"SCAND1",6.67649443668182e-28,0.654660944961724,0.198,0.126,2.24957803549557e-23
"CTTN",6.94300082144005e-28,-0.498355592505463,0.286,0.38,2.33937469677601e-23
"CLSTN1",8.435121545863e-28,0.198481701644321,0.801,0.721,2.84212985366308e-23
"NRXN3",9.02378816713173e-28,-0.396083627779954,0.365,0.463,3.04047518503337e-23
"ITGB1BP1",1.06807496271428e-27,-0.671887720629523,0.125,0.2,3.5987717793695e-23
"PPDPF",1.23497877576075e-27,0.489708661196394,0.355,0.274,4.16113748704829e-23
"ENO2",1.40011426947327e-27,0.181171540453433,0.862,0.816,4.71754501956322e-23
"ADAM17",1.42371654889614e-27,-0.791313365955169,0.12,0.191,4.79707053985066e-23
"CACNG8",1.4460240143641e-27,-0.400134406168613,0.438,0.529,4.87223331399839e-23
